OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
4157,WOODCREST OFFICE PARK,325 JOHN KNOX RD,,224-2300,,325,,JOHN KNOX,COM,8799,-84.2853955,30.47304427,201,32303,RD,,PENCEP,5/5/2014 0:00,FL,TALLAHASSEE,19,,{D3E3D9BB-03D3-4754-996F-446D11686F40},938
4158,MM208,I-10 - MM208,,,,,,I-10,MM,8903,-84.16003069,30.48629698,1208,32308,,,PENCEP,,FL,TALLAHASSEE,2,,{478F70F8-65BB-4357-8413-3A834D16F80B},961
4159,HAITIAN CHURCH,1920 S MONROE ST,,,,1920,S,MONROE,REL,8904,-84.28110663,30.42301624,301,32301,ST,,PENCEP,7/16/2018 0:00,FL,TALLAHASSEE,10,,{794EB9C1-75F1-4A9A-B2E5-DFC036D2AEBE},131
4160,TASTY TREATS,1621 N MONROE ST,,,A,1621,N,MONROE,COM,8905,-84.28099404,30.46100926,109,32303,ST,,PENCEP,2/19/2018 0:00,FL,TALLAHASSEE,19,,{AE60C5A1-42F6-413E-BE70-EC38D116122F},
4161,BP GAS,3434 THOMASVILLE RD,,,A,3434,,THOMASVILLE,GAS,8906,-84.2511339,30.50574466,900,32309,RD,,PENCEP,8/5/2019 0:00,FL,TALLAHASSEE,1,,{2160F6BF-67D0-473D-B43A-85843659964E},571
4162,TM16F - FERN TRAIL MARKER 16F,GOVERNORS PARK - FERN TRAIL,,,,,,,TM,9593,-84.2467851,30.44384061,104,32301,,,PENCEP,1/18/2012 0:00,FL,TALLAHASSEE,5,,{5691C74B-72C3-4EC9-96C1-BC6B43FBD0F1},900
4163,TM03F - FERN TRAIL MARKER 3F,GOVERNORS PARK - FERN TRAIL,,,,,,,TM,9594,-84.25186365,30.44802499,104,32301,,,PENCEP,1/18/2012 0:00,FL,TALLAHASSEE,5,,{16D4E00B-818E-4AA5-96B0-CDBFBFC2E34D},900
4164,TM04F - FERN TRAIL MARKER 4F,GOVERNORS PARK - FERN TRAIL,,,,,,,TM,9595,-84.25154119,30.44811774,104,32301,,,PENCEP,1/18/2012 0:00,FL,TALLAHASSEE,5,,{F6953014-118C-4E8F-BB18-58D356AE6C17},900
4165,TM05F - FERN TRAIL MARKER 5F,GOVERNORS PARK - FERN TRAIL,,,,,,,TM,9596,-84.2511109,30.44779171,104,32301,,,PENCEP,1/18/2012 0:00,FL,TALLAHASSEE,5,,{50C881E5-6A5E-4831-8D23-DAB9BFCCB5A8},900
4166,TM143H - PHIPPS HIKING TRAIL MARKER 143H,PHIPPS PARK - HIKING TRAIL,,,,,,,TM,9912,-84.29102431,30.53147761,900,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,1,,{9D000D32-EED9-4204-A15D-D68BD110AC39},900
