FID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
485,33026,869,6,Broward,Broward-33026,Hollywood,"Cooper City, Davie, Southwest Ranches, Pembroke Pines",86,Broward-33026,"Cooper City, Hollywood, Pembroke Pines",79,79,0.137470657,0.001162824
486,33027,870,6,Broward,Broward-33027,Hollywood,"Miramar, Pembroke Pines, Country Club",87,Broward-33027,"Hollywood, Miramar, Pembroke Pines",217,217,0.231712172,0.003271845
487,33028,872,6,Broward,Broward-33028,Pembroke Pines,"Davie, Southwest Ranches, Pembroke Pines",88,Broward-33028,"Hollywood, Pembroke Pines",472,472,0.174866245,0.001383511
488,33029,873,6,Broward,Broward-33029,Hollywood,"Miramar, Southwest Ranches, Pembroke Pines",89,Broward-33029,"Hollywood, Miramar, Pembroke Pines",139,139,0.313703799,0.004656123
489,33030,875,13,Dade,Dade-33030,Homestead,"Homestead, Florida City, Leisure City",218,Dade-33030,Homestead,228,228,0.43460005,0.005407685
490,33031,876,13,Dade,Dade-33031,Homestead,Homestead,219,Dade-33031,Homestead,27,27,0.477444243,0.006450523
491,33032,877,13,Dade,Dade-33032,Homestead,"Goulds, Homestead Base, Leisure City, Naranja, Princeton",220,Dade-33032,"Homestead, Naranja, Princeton",204,204,0.417045358,0.005486309
492,33033,878,13,Dade,Dade-33033,Homestead,"Homestead, Islandia, Homestead Base, Leisure City, Naranja",221,Dade-33033,Homestead,311,311,0.462143022,0.004171335
493,33034,879,13,Dade,Dade-33034,Homestead,"Homestead, Florida City",222,Dade-33034,"Florida City, Homestead",412,412,1.276071872,0.050168742
494,33034,880,44,Monroe,Monroe-33034,Flamingo,Flamingo,673,Monroe-33034,,0,0,3.002748173,0.006511214
495,33035,881,13,Dade,Dade-33035,Homestead,"Homestead, Florida City",223,Dade-33035,Homestead,61,61,2.688652883,0.022673662
496,33036,883,44,Monroe,Monroe-33036,Islamorada,"Islamorada, Village of Islands",674,Monroe-33036,Islamorada,<5,-2,0.977776774,0.00153533
497,33037,885,44,Monroe,Monroe-33037,Key Largo,"Islandia, Key Largo, North Key Largo, Tavernier",675,Monroe-33037,Key Largo,17,17,2.278569609,0.008558904
498,33039,886,13,Dade,Dade-33039,Homestead,Homestead Base,224,Dade-33039,Homestead,<5,-2,0.180416375,7.86E-04
499,33040,887,44,Monroe,Monroe-33040,Key West,"Key West, Big Coppitt Key, Stock Island",676,Monroe-33040,Key West,43,43,4.426866429,0.006871857
500,33042,888,44,Monroe,Monroe-33042,Summerland Key,Cudjoe Key,677,Monroe-33042,"Cudjoe Key, Sugarloaf, Summerland Key",5,5,3.92572161,0.006668096
501,33043,889,44,Monroe,Monroe-33043,Big Pine Key,Big Pine Key,678,Monroe-33043,,0,0,2.135375614,0.004554874
502,33050,890,44,Monroe,Monroe-33050,Marathon,"Marathon, Key Colony Beach, Duck Key",679,Monroe-33050,Marathon,6,6,1.757930649,0.002716082
503,33054,892,13,Dade,Dade-33054,Opa Locka,"Miami Lakes, Miami Gardens, Hialeah, Opa-locka, Golden Glades, Westview",225,Dade-33054,"Miami Gardens, Opa Locka",211,211,0.234092563,0.00224463
504,33055,894,13,Dade,Dade-33055,Opa Locka,"Miami Lakes, Miami Gardens, Miramar, Country Club",226,Dade-33055,"Carol City, Miami Gardens, Opa Locka",288,288,0.161868883,0.001482139
505,33056,896,13,Dade,Dade-33056,Miami Gardens,"Miami Gardens, Miramar",227,Dade-33056,"Carol City, Miami Gardens, Opa Locka",254,254,0.15812244,0.001472199
506,33060,897,6,Broward,Broward-33060,Pompano Beach,"Pompano Beach, Fort Lauderdale, Oakland Park",90,Broward-33060,Pompano Beach,140,140,0.179559163,0.00170827
507,33062,898,6,Broward,Broward-33062,Pompano Beach,"Deerfield Beach, Pompano Beach, Lauderdale-by-the-Sea, Lighthouse Point, Hillsboro Beach, Fort Lauderdale",91,Broward-33062,"Hillsboro Beach, Lauderdale By The Sea, Pompano Beach",41,41,0.268989649,9.51E-04
508,33063,899,6,Broward,Broward-33063,Pompano Beach,"Coconut Creek, Coral Springs, North Lauderdale, Margate",92,Broward-33063,"Coconut Creek, Margate, Pompano Beach",195,195,0.228616159,0.002140749
509,33064,900,6,Broward,Broward-33064,Pompano Beach,"Deerfield Beach, Pompano Beach, Lighthouse Point, Hillsboro Beach",93,Broward-33064,"Deerfield Beach, Lighthouse Point, Pompano Beach",252,252,0.247207858,0.002496145
510,33065,901,6,Broward,Broward-33065,Coral Springs,"Coral Springs, Parkland",94,Broward-33065,"Coral Springs, Pompano Beach",173,173,0.223324497,0.002026803
511,33066,902,6,Broward,Broward-33066,Pompano Beach,Coconut Creek,95,Broward-33066,"Coconut Creek, Pompano Beach",28,28,0.127681765,7.44E-04
512,33067,903,6,Broward,Broward-33067,Pompano Beach,"Coconut Creek, Coral Springs, Parkland, Watergate",96,Broward-33067,"Coral Springs, Parkland, Pompano Beach",47,47,0.231646122,0.002545746
513,33068,905,6,Broward,Broward-33068,Pompano Beach,"Coral Springs, North Lauderdale, Tamarac, Margate, Fort Lauderdale",97,Broward-33068,"Margate, North Lauderdale, Pompano Beach",229,229,0.171814528,0.001409054
514,33069,906,6,Broward,Broward-33069,Pompano Beach,"Coconut Creek, Deerfield Beach, North Lauderdale, Pompano Beach, Fort Lauderdale, Oakland Park",98,Broward-33069,Pompano Beach,175,175,0.245361192,0.002246897
515,33070,907,44,Monroe,Monroe-33070,Tavernier,"Islamorada, Village of Islands, Key Largo, Tavernier",680,Monroe-33070,"Key Largo, Tavernier",24,24,0.344046845,0.001059412
516,33071,908,6,Broward,Broward-33071,Coral Springs,"Coral Springs, Tamarac, Margate",99,Broward-33071,"Coral Springs, Margate, Pompano Beach",97,97,0.19111476,0.001868921
517,33073,909,6,Broward,Broward-33073,Pompano Beach,"Coconut Creek, Coral Springs, Deerfield Beach, Parkland, Pompano Beach, Hillsboro Pines, Watergate",100,Broward-33073,"Coconut Creek, Coral Springs, Pompano Beach",93,93,0.218033847,0.002033001
